generation,rank_1,rank_2,swapAccepted
896000,1,2,1
897000,3,4,1
898000,2,3,1
899000,2,4,1
900000,1,3,1
901000,2,3,1
902000,1,3,1
903000,1,2,1
904000,1,2,1
905000,3,4,1
906000,1,3,1
907000,2,3,1
908000,1,4,1
909000,2,4,1
910000,2,3,1
911000,1,4,1
912000,2,4,1
913000,2,4,1
914000,1,4,1
915000,1,4,1
916000,1,4,0
917000,1,4,1
918000,2,3,1
919000,2,3,1
920000,2,3,1
921000,3,4,1
922000,3,4,1
923000,2,4,1
924000,1,4,1
925000,1,2,1
926000,1,4,1
927000,1,4,1
928000,1,4,1
929000,1,3,1
930000,2,3,1
931000,1,3,1
932000,1,4,0
933000,1,2,1
934000,2,3,1
935000,2,4,1
936000,3,4,1
937000,2,4,1
938000,1,4,1
939000,1,2,1
940000,1,3,1
941000,2,4,0
942000,2,3,1
943000,2,3,1
944000,1,3,1
945000,1,2,1
946000,2,4,1
947000,1,4,1
948000,2,4,1
949000,1,2,1
950000,1,2,1
951000,3,4,1
952000,2,4,1
953000,3,4,1
954000,1,4,1
955000,1,4,0
956000,2,4,1
957000,1,3,1
958000,1,3,1
959000,1,4,1
960000,1,2,1
961000,1,2,1
962000,3,4,1
963000,2,3,1
964000,2,4,1
965000,1,4,1
966000,3,4,1
967000,2,3,1
968000,2,4,1
969000,1,2,1
970000,1,2,1
971000,2,4,1
972000,1,3,1
973000,2,3,1
974000,1,4,1
975000,1,4,1
976000,1,2,1
977000,1,4,1
978000,2,4,1
979000,1,4,1
980000,1,3,1
981000,2,3,1
982000,3,4,1
983000,1,4,0
984000,3,4,1
985000,2,3,1
986000,1,4,1
987000,1,4,1
988000,2,3,1
989000,2,3,1
990000,1,2,1
991000,2,3,1
992000,2,4,1
993000,3,4,1
994000,1,2,1
995000,2,4,1
996000,1,2,1
997000,2,3,1
998000,1,3,1
999000,2,4,1
1000000,2,4,1
