generation,N_shifts,logPrior,logLik,eventRate,acceptRate
223500,0,4.56831,-264.887,0.453323,0.298
224000,0,4.18884,-266.057,0.443549,0.305
224500,0,4.73147,-265.346,0.0230231,0.32
225000,0,5.58823,-268.008,0.0163201,0.311
225500,0,4.49112,-266.225,0.349336,0.274
226000,0,4.75523,-264.863,0.435799,0.316714
226500,0,4.60033,-267.673,0.157924,0.33
227000,0,5.45479,-268.041,0.0948685,0.3164
227500,0,5.47998,-265.276,0.170539,0.29
228000,0,3.53243,-265.942,0.989862,0.308
228500,0,4.48942,-264.69,0.453906,0.346
229000,0,5.16414,-270.205,0.411581,0.32325
229500,0,4.50662,-267.761,0.361388,0.334
230000,0,5.65749,-265.538,0.19524,0.341
230500,0,3.63664,-269.027,2.25848,0.332
231000,0,5.0336,-265.033,0.276702,0.318667
231500,0,4.53399,-264.548,0.883311,0.304
232000,0,5.33207,-264.589,0.114135,0.317
232500,0,4.94688,-264.734,0.458571,0.338
233000,0,4.05084,-267.669,0.21725,0.304667
233500,0,4.06224,-265.306,0.358733,0.3
234000,0,3.79147,-265.815,0.370873,0.3245
234500,0,4.04951,-265.679,0.223839,0.3
235000,0,5.86934,-266.543,0.00293879,0.315
235500,0,5.36002,-265.083,0.0811093,0.302
236000,0,4.48174,-265.304,0.286677,0.314471
236500,0,4.90491,-264.609,0.367743,0.338
237000,0,5.46864,-264.673,0.0651702,0.317
237500,0,5.41685,-265.33,0.0343702,0.37
238000,0,4.27022,-264.947,0.32606,0.34
238500,0,4.0811,-266.486,0.176788,0.252
239000,0,4.79408,-268.481,0.0288047,0.246
239500,0,5.21409,-264.475,0.109758,0.304
240000,0,5.22747,-264.944,0.029164,0.303
240500,0,5.05427,-265.464,0.109901,0.29
241000,0,5.71421,-265.315,0.0350887,0.309
241500,0,4.83915,-267.303,0.865802,0.342
242000,0,4.85336,-267.584,0.828106,0.309778
242500,0,4.91176,-267.666,0.157463,0.33
243000,0,4.6407,-265.34,0.158324,0.311
243500,0,5.18958,-264.93,0.115214,0.296
244000,0,5.49506,-266.298,0.14124,0.32
244500,0,5.70681,-266.853,0.14882,0.278
245000,0,5.37698,-266.189,0.181786,0.3025
245500,0,5.16528,-265.621,0.547568,0.268
246000,0,4.87593,-265.775,0.298935,0.285
246500,0,4.34302,-265.717,0.858766,0.32
247000,0,5.61767,-267.869,0.111169,0.298333
247500,0,5.46803,-266.151,0.420398,0.296
248000,0,5.35711,-266.387,0.309163,0.306
248500,0,5.09805,-265.668,0.400462,0.306
249000,0,4.92154,-268.226,0.755101,0.310333
249500,0,5.06668,-264.546,0.192293,0.35
250000,0,3.48333,-266.705,2.03885,0.3012
250500,0,4.5668,-265.187,0.0751144,0.336
251000,0,4.95109,-265.616,0.506181,0.32
251500,0,4.53722,-265.318,0.118259,0.312
252000,1,9.68185,-265.423,0.976179,0.311059
252500,0,4.7222,-264.514,0.584674,0.336
253000,0,3.87494,-266.207,0.436479,0.3135
253500,0,4.98949,-264.763,0.229271,0.384
254000,0,5.13401,-266.76,0.325356,0.36
254500,0,4.92095,-267.607,0.013134,0.274
255000,0,5.3347,-264.595,0.0742652,0.31725
255500,0,5.04174,-267.295,0.300042,0.372
256000,0,4.90772,-264.609,0.374866,0.3105
256500,0,2.41061,-266.711,0.980561,0.278
257000,0,5.00601,-265.638,0.328913,0.320333
257500,0,4.60666,-265.988,0.508425,0.306
258000,0,2.88883,-266.081,1.39113,0.29325
258500,0,3.87387,-265.425,0.418553,0.302
259000,0,4.08341,-265.56,0.311672,0.2975
259500,0,3.41352,-266.99,0.347925,0.274
260000,0,3.118,-265.285,1.29272,0.302
260500,0,3.96404,-265.535,0.454954,0.314
261000,0,3.94719,-265.652,0.43235,0.312
261500,0,4.59503,-265.639,0.189279,0.282
262000,0,3.30018,-267.945,1.21816,0.305571
262500,0,4.44976,-268.271,0.0869795,0.31
263000,0,4.64312,-269.385,0.0562347,0.3006
263500,0,4.1323,-267.667,0.931804,0.27
264000,0,4.9619,-265.433,0.494053,0.292
264500,0,5.49441,-265.291,0.175587,0.338
265000,0,3.96441,-267.679,0.250072,0.305889
265500,0,4.60962,-266.624,0.0216734,0.292
266000,0,4.09763,-265.847,0.102078,0.3365
266500,0,2.74233,-266.901,0.707127,0.314
267000,0,4.09845,-265.263,0.635094,0.321
267500,0,2.98032,-267.704,0.657439,0.306
268000,0,4.34155,-266.249,0.418245,0.298
268500,0,4.40782,-265.761,0.266029,0.312
269000,0,4.39528,-265.252,1.29149,0.314
269500,0,5.3357,-265.522,0.467456,0.33
270000,0,4.74123,-265.745,0.0766603,0.31225
270500,0,5.17078,-264.605,0.34972,0.314
271000,0,4.11696,-264.768,1.00635,0.314
271500,0,4.73058,-264.938,0.222921,0.306
272000,0,5.17055,-265.273,0.18076,0.325
272500,0,4.78284,-265.21,0.527336,0.316
273000,0,4.9861,-268.851,0.511282,0.313083
273500,0,4.83842,-265.978,1.09499,0.358
274000,0,5.01658,-265.637,0.407409,0.322
274500,0,5.10948,-271.405,0.286388,0.362
275000,0,5.16718,-268.661,0.467623,0.328
275500,0,5.25527,-268.658,0.349416,0.344
276000,0,5.09741,-265.127,0.279827,0.317545
276500,0,4.52689,-265.611,0.648843,0.338
277000,0,4.78767,-264.747,0.418276,0.328
277500,0,5.06058,-264.626,0.106309,0.314
278000,0,5.36276,-272.782,0.429661,0.33325
278500,0,5.26124,-265.786,0.414238,0.3
279000,0,5.75371,-265.624,0.0818088,0.32875
279500,0,5.95744,-268.14,0.00379725,0.328
280000,0,5.61289,-265.529,0.0724987,0.297667
280500,0,4.83387,-265.673,0.902202,0.346
281000,0,5.37592,-266.358,0.413544,0.336
281500,0,5.24955,-269.456,0.587973,0.334
282000,0,4.29782,-265.041,0.384458,0.321333
282500,0,4.7748,-265.882,0.333611,0.266
