generation,rank_1,rank_2,swapAccepted
582000,3,4,1
583000,1,4,1
584000,1,4,1
585000,3,4,1
586000,2,3,1
587000,1,4,1
588000,1,2,1
589000,1,2,1
590000,3,4,1
591000,3,4,1
592000,3,4,1
593000,1,3,0
594000,1,4,1
595000,1,4,1
596000,2,4,1
597000,3,4,1
598000,1,4,1
599000,1,3,1
600000,3,4,1
601000,2,3,1
602000,1,4,1
603000,3,4,1
604000,2,3,1
605000,1,2,1
606000,2,3,1
607000,1,3,1
608000,2,3,1
609000,3,4,1
610000,3,4,1
611000,2,3,1
612000,1,3,1
613000,2,4,1
614000,2,3,1
615000,2,4,1
616000,2,3,1
617000,2,4,1
618000,2,3,1
619000,1,3,1
620000,1,2,1
621000,2,3,1
622000,1,4,1
623000,2,4,0
624000,2,3,1
625000,2,3,1
626000,1,4,1
627000,1,2,1
628000,1,3,1
629000,1,3,1
630000,1,2,1
631000,3,4,1
632000,1,3,1
633000,2,4,1
634000,3,4,1
635000,1,2,1
636000,1,3,1
637000,1,4,1
638000,2,3,1
639000,2,4,1
640000,3,4,0
641000,1,2,1
642000,2,3,1
643000,1,3,1
644000,1,4,1
645000,1,2,1
646000,1,3,1
647000,1,4,1
648000,2,3,1
649000,1,2,1
650000,1,3,1
651000,2,3,1
652000,1,4,1
653000,2,3,1
654000,3,4,1
655000,1,4,0
656000,1,2,1
657000,1,2,1
658000,3,4,1
659000,1,2,1
660000,3,4,1
661000,1,2,1
662000,1,2,1
663000,3,4,1
664000,1,2,1
665000,1,2,1
666000,3,4,1
667000,1,2,1
668000,2,3,1
669000,1,3,1
670000,2,4,1
671000,2,4,1
672000,1,3,1
673000,2,4,1
674000,1,3,1
675000,1,2,1
676000,3,4,1
677000,1,4,1
678000,1,4,1
679000,3,4,1
680000,2,4,0
681000,1,4,1
682000,3,4,1
683000,3,4,1
684000,1,4,1
685000,1,2,1
686000,2,4,1
687000,1,3,1
688000,2,3,1
689000,1,4,1
690000,1,2,1
691000,2,3,1
692000,1,2,1
693000,3,4,1
694000,1,2,1
695000,1,4,1
696000,2,3,1
697000,2,4,1
698000,3,4,1
699000,3,4,1
700000,1,3,1
701000,3,4,1
702000,2,4,1
703000,1,4,1
704000,2,4,1
705000,2,4,1
706000,3,4,1
707000,1,2,1
708000,1,4,1
709000,1,2,1
710000,2,3,1
711000,2,3,1
712000,1,2,1
713000,1,2,1
714000,1,2,1
715000,2,3,1
716000,1,2,1
717000,3,4,1
718000,2,4,1
719000,2,4,1
720000,2,3,1
721000,3,4,1
722000,2,4,1
723000,1,3,1
724000,2,3,1
725000,3,4,1
726000,2,4,1
727000,1,2,1
728000,2,4,1
729000,2,3,0
730000,1,3,1
731000,1,4,1
732000,1,2,1
733000,1,2,1
734000,1,4,1
735000,1,3,1
736000,2,4,1
737000,2,4,1
738000,2,3,1
739000,2,3,1
740000,2,3,1
741000,2,4,1
742000,2,3,1
743000,1,2,1
744000,2,3,1
745000,1,2,1
746000,1,2,1
747000,2,3,1
748000,1,2,1
749000,1,3,1
750000,1,2,1
751000,2,4,0
752000,3,4,1
753000,1,2,1
754000,2,4,1
755000,1,4,1
756000,2,4,1
757000,1,3,1
758000,3,4,1
759000,2,3,1
760000,3,4,1
761000,2,3,1
762000,1,3,1
763000,2,3,1
764000,3,4,1
765000,1,4,1
766000,2,4,1
767000,1,2,1
768000,2,3,1
769000,3,4,1
770000,1,4,1
771000,1,4,1
772000,1,3,1
773000,2,3,1
774000,3,4,1
775000,1,4,1
776000,1,3,1
777000,3,4,1
778000,2,3,1
779000,2,4,1
780000,1,2,1
781000,2,3,1
782000,3,4,1
783000,1,3,1
784000,3,4,1
785000,2,4,1
786000,3,4,1
787000,3,4,1
788000,1,2,1
789000,1,4,1
790000,1,3,1
791000,2,4,1
792000,2,3,1
793000,2,3,1
794000,3,4,1
795000,2,4,1
796000,1,3,1
797000,1,3,1
798000,2,4,1
799000,1,4,1
800000,2,4,1
801000,1,4,1
802000,1,4,1
803000,2,4,1
804000,2,3,1
805000,1,2,1
806000,2,4,1
807000,2,3,1
808000,1,3,1
809000,1,2,1
810000,3,4,1
811000,1,3,1
812000,3,4,1
813000,1,3,1
814000,1,3,1
815000,2,3,1
816000,2,4,1
817000,1,4,1
818000,1,3,0
819000,2,3,1
820000,2,3,1
821000,2,3,1
822000,2,3,1
823000,1,4,1
824000,2,3,1
825000,2,4,1
826000,1,4,1
827000,1,3,1
828000,3,4,1
829000,1,2,1
830000,2,3,1
831000,2,4,1
832000,3,4,1
833000,2,3,1
834000,1,4,1
835000,3,4,1
836000,1,4,1
837000,2,3,1
838000,1,3,1
839000,2,3,1
840000,2,3,1
841000,1,4,1
842000,3,4,0
843000,1,3,1
844000,1,2,1
845000,2,3,1
846000,1,3,1
847000,1,4,1
848000,1,4,1
849000,1,2,1
850000,2,4,1
851000,2,4,1
852000,1,2,1
853000,1,4,0
854000,1,2,1
855000,2,3,1
856000,1,2,1
857000,2,4,1
858000,1,2,1
859000,1,2,1
860000,2,3,1
861000,2,3,1
862000,1,3,1
863000,2,4,1
864000,3,4,1
865000,1,4,1
866000,1,3,1
867000,1,4,1
868000,3,4,1
869000,3,4,1
870000,1,4,1
871000,1,2,1
872000,3,4,1
873000,3,4,1
874000,3,4,1
875000,2,4,1
876000,1,2,1
877000,2,4,1
878000,1,2,1
879000,1,2,1
880000,1,4,1
881000,2,4,1
882000,1,4,1
883000,1,3,1
884000,1,4,1
885000,1,4,1
886000,1,4,1
887000,3,4,1
888000,2,4,1
889000,3,4,1
890000,1,4,1
891000,1,4,1
892000,2,3,1
893000,2,3,1
894000,1,4,1
895000,1,2,1
896000,3,4,1
897000,2,4,1
898000,1,2,1
899000,2,3,1
900000,1,4,1
901000,3,4,1
902000,1,2,1
903000,1,2,1
904000,3,4,1
